AuftragID;Anlagedatum;Gestartetam;Wunschtermin;Priorität;Beendetam;BusinessUnitID;VeranlasendeAbteilungID;AuftragsgrundID;Wertigkeit;Dringlichkeit;MarktsegmentID;WiederholauftragJa/Nein;UrsprungfürWiederholung;AusführendeAbteilungID;KundeID;AnzahlSchichten;InBearbeitungab;Eingeplantam;WarteaufRückmeldungab;WarteaufMaterialab;WarteaufVorlageab;VerwendungID;Bearbeitungszeit;Termintreue
45540;05.09.2022;12.12.2022;31.10.2022;3;07.02.2023;1;359;15;8;4;46;0;none;345;14.06.1927;2;12.12.2022;09.09.2022;none;none;none;1;155;ja
49161;29.11.2022;01.12.2022;28.12.2022;2;08.12.2022;3;none;49;4;4;46;0;none;344;none;1;01.12.2022;30.11.2022;none;none;none;2;9;nein
49164;29.11.2022;01.12.2022;28.12.2022;2;08.12.2022;3;none;49;4;4;46;0;none;344;none;1;01.12.2022;30.11.2022;none;none;none;2;9;nein
49168;29.11.2022;06.12.2022;28.12.2022;2;14.12.2022;3;none;49;4;4;46;0;none;344;none;1;06.12.2022;05.12.2022;none;none;none;2;15;nein
49170;29.11.2022;06.12.2022;28.12.2022;2;14.12.2022;3;none;49;4;4;46;0;none;344;none;1;06.12.2022;05.12.2022;none;none;none;2;15;nein
52369;14.02.2023;16.02.2023;27.02.2023;2;22.02.2023;3;1784;49;4;4;46;0;none;344;none;1;16.02.2023;15.02.2023;none;none;none;2;8;nein
52372;14.02.2023;16.02.2023;27.02.2023;2;22.02.2023;3;none;49;4;4;46;0;none;344;none;1;16.02.2023;16.02.2023;none;16.02.2023;none;2;8;nein
52376;14.02.2023;16.02.2023;27.02.2023;2;22.02.2023;3;none;49;4;4;46;0;none;344;none;1;16.02.2023;15.02.2023;none;none;none;2;8;nein
75419;11.06.2024;11.06.2024;03.07.2024;4;12.06.2024;3;1779;49;4;8;46;1;52369;344;none;1;11.06.2024;11.06.2024;none;none;none;2;1;nein
24318;19.04.2021;21.04.2021;26.04.2021;2;23.04.2021;3;none;15;4;4;46;0;none;344;none;1;21.04.2021;20.04.2021;none;none;none;2;4;nein
24320;19.04.2021;21.04.2021;26.04.2021;2;23.04.2021;3;none;15;4;4;46;1;24318;344;none;1;21.04.2021;20.04.2021;none;none;none;2;4;nein
38066;02.03.2022;09.03.2022;09.03.2022;2;09.03.2022;3;349;15;4;4;46;0;none;344;none;1;09.03.2022;08.03.2022;none;none;none;2;7;ja
45794;09.09.2022;15.09.2022;07.10.2022;2;15.09.2022;3;349;15;4;4;46;0;none;344;none;1;15.09.2022;13.09.2022;none;none;none;2;6;nein
47322;13.10.2022;20.10.2022;03.11.2022;6;25.10.2022;3;352;15;8;8;46;1;47078;344;none;01.01.1900;20.10.2022;20.10.2022;17.10.2022;none;none;1;12;nein
47080;10.10.2022;25.10.2022;31.10.2022;6;25.10.2022;3;352;15;8;8;46;0;none;344;none;01.01.1900;25.10.2022;20.10.2022;17.10.2022;none;none;1;15;nein
47001;07.10.2022;20.10.2022;31.10.2022;6;25.10.2022;3;352;15;8;8;46;0;none;344;none;01.01.1900;20.10.2022;20.10.2022;17.10.2022;none;none;1;18;nein
47013;07.10.2022;25.10.2022;28.10.2022;2;25.10.2022;3;none;49;4;4;46;0;none;344;none;1;25.10.2022;11.10.2022;none;none;none;2;18;nein
47017;07.10.2022;25.10.2022;28.10.2022;2;25.10.2022;3;none;49;4;4;46;0;none;344;none;1;25.10.2022;11.10.2022;none;none;none;2;18;nein
47014;07.10.2022;25.10.2022;28.10.2022;2;26.10.2022;3;none;49;4;4;46;0;none;344;none;1;25.10.2022;11.10.2022;none;none;none;2;19;nein
47018;07.10.2022;26.10.2022;28.10.2022;2;26.10.2022;3;none;49;4;4;46;0;none;344;none;1;26.10.2022;11.10.2022;none;none;none;2;19;nein
47016;07.10.2022;25.10.2022;28.10.2022;2;27.10.2022;3;none;49;4;4;46;0;none;344;none;1;25.10.2022;11.10.2022;none;none;none;2;20;nein
49172;29.11.2022;06.12.2022;28.12.2022;2;12.12.2022;3;none;49;4;4;46;0;none;344;none;1;06.12.2022;05.12.2022;none;none;none;2;13;nein
49166;29.11.2022;14.12.2022;28.12.2022;2;20.12.2022;3;none;49;4;4;46;0;none;344;none;1;14.12.2022;05.12.2022;none;none;none;2;21;nein
49174;29.11.2022;14.12.2022;28.12.2022;2;20.12.2022;3;none;49;4;4;46;0;none;344;none;1;14.12.2022;05.12.2022;none;none;none;2;21;nein
