OrderID;OrderDate;StartDate;DesiredDate;Priority;FinishtDate;InitiatingBusinessUnit;InitiatingDepartment;OrderReason;IndustrySegment;Reorder;SupportDepartment;InProcessSince;UsageCategory;ProcessTime;DeliveryPerformance;Backlog
47417;17.10.2022;18.10.2022;08.11.2022;6;18.10.2022;3;350;15;7;0;157;18.10.2022;2;1;0;237
32707;21.10.2021;21.10.2021;11.11.2021;4;22.10.2021;1;338;15;29;1;158;21.10.2021;1;1;0;86
63768;16.10.2023;17.10.2023;08.11.2023;2;17.10.2023;1;385;15;29;1;158;17.10.2023;1;1;0;78
63771;16.10.2023;17.10.2023;08.11.2023;6;17.10.2023;1;340;15;29;1;158;17.10.2023;1;1;0;78
36538;26.01.2022;26.01.2022;01.02.2022;6;27.01.2022;2;342;15;24;1;157;26.01.2022;1;1;0;147
61369;21.08.2023;21.08.2023;05.09.2023;6;22.08.2023;2;345;15;23;1;158;21.08.2023;1;1;0;76
61371;21.08.2023;21.08.2023;05.09.2023;6;22.08.2023;2;345;15;23;1;158;21.08.2023;1;1;0;76
61372;21.08.2023;21.08.2023;05.09.2023;6;22.08.2023;2;345;15;23;1;158;21.08.2023;1;1;0;76
61373;21.08.2023;21.08.2023;05.09.2023;6;22.08.2023;2;345;15;23;1;158;21.08.2023;1;1;0;76
22004;23.02.2021;23.02.2021;01.03.2021;6;24.02.2021;1;339;15;29;0;157;23.02.2021;1;1;0;140
76428;01.07.2024;01.07.2024;23.07.2024;2;02.07.2024;1;345;15;29;1;158;01.07.2024;1;1;0;76
76542;02.07.2024;03.07.2024;24.07.2024;3;03.07.2024;1;345;15;30;0;158;03.07.2024;1;1;0;76
78310;01.08.2024;02.08.2024;23.08.2024;2;02.08.2024;1;345;15;30;1;158;02.08.2024;1;1;0;76
32830;25.10.2021;26.10.2021;12.11.2021;2;26.10.2021;1;345;15;29;1;158;26.10.2021;1;1;0;75
32831;25.10.2021;26.10.2021;12.11.2021;2;26.10.2021;1;345;15;29;1;158;26.10.2021;1;1;0;75
32855;26.10.2021;27.10.2021;15.11.2021;2;27.10.2021;1;345;15;29;1;158;27.10.2021;1;1;0;75
75410;11.06.2024;11.06.2024;03.07.2024;6;12.06.2024;1;337;15;29;1;158;11.06.2024;1;1;0;75
75464;11.06.2024;12.06.2024;03.07.2024;2;12.06.2024;2;345;15;1;1;158;12.06.2024;2;1;0;75
76315;27.06.2024;27.06.2024;19.07.2024;2;28.06.2024;1;345;15;29;1;158;27.06.2024;1;1;0;75
76316;27.06.2024;27.06.2024;19.07.2024;2;28.06.2024;1;345;15;29;1;158;27.06.2024;1;1;0;75
35146;15.12.2021;16.12.2021;21.12.2021;2;16.12.2021;1;340;15;29;1;157;16.12.2021;1;1;0;112
75860;19.06.2024;19.06.2024;11.07.2024;2;20.06.2024;1;345;15;29;1;158;19.06.2024;1;1;0;73
37476;17.02.2022;18.02.2022;23.02.2022;2;18.02.2022;2;341;15;25;0;157;18.02.2022;1;1;0;108
47653;24.10.2022;25.10.2022;01.11.2022;6;25.10.2022;2;1764;15;24;0;157;25.10.2022;1;1;0;105
47658;24.10.2022;25.10.2022;15.11.2022;6;25.10.2022;2;1764;15;24;0;157;25.10.2022;1;1;0;105
78621;07.08.2024;07.08.2024;29.08.2024;6;08.08.2024;1;338;15;29;1;158;07.08.2024;1;1;0;72
34221;24.11.2021;25.11.2021;14.12.2021;6;25.11.2021;1;340;15;30;0;158;25.11.2021;1;1;0;71
60632;02.08.2023;02.08.2023;24.08.2023;2;03.08.2023;1;338;15;29;1;158;02.08.2023;1;1;0;71
66356;07.12.2023;08.12.2023;22.12.2023;2;08.12.2023;2;345;15;23;1;158;08.12.2023;1;1;0;70
66357;07.12.2023;08.12.2023;22.12.2023;3;08.12.2023;2;345;15;23;1;158;08.12.2023;1;1;0;70
66358;07.12.2023;08.12.2023;22.12.2023;3;08.12.2023;2;345;15;23;1;158;08.12.2023;1;1;0;70
66761;18.12.2023;18.12.2023;05.01.2024;3;19.12.2023;2;345;15;9;1;158;18.12.2023;1;1;0;70
66761;18.12.2023;18.12.2023;05.01.2024;3;19.12.2023;2;345;15;9;1;158;18.12.2023;1;1;0;70
72124;08.04.2024;09.04.2024;30.04.2024;6;09.04.2024;2;343;15;24;1;158;09.04.2024;1;1;0;70
72123;08.04.2024;09.04.2024;30.04.2024;6;09.04.2024;2;343;15;24;1;158;09.04.2024;1;1;0;70
34774;07.12.2021;07.12.2021;27.12.2021;6;08.12.2021;1;338;15;29;1;158;07.12.2021;1;1;0;69
34775;07.12.2021;07.12.2021;27.12.2021;6;08.12.2021;1;338;15;29;1;158;07.12.2021;1;1;0;69
76291;27.06.2024;27.06.2024;05.07.2024;6;28.06.2024;3;1769;15;7;0;157;27.06.2024;1;1;0;97
76301;27.06.2024;27.06.2024;05.07.2024;6;28.06.2024;3;1769;15;7;0;157;27.06.2024;1;1;0;97
21057;04.02.2021;04.02.2021;10.02.2021;2;05.02.2021;3;none;15;1;1;157;04.02.2021;1;1;0;94
67160;02.01.2024;03.01.2024;24.01.2024;2;03.01.2024;1;345;15;30;1;158;03.01.2024;1;1;0;69
76667;04.07.2024;05.07.2024;26.07.2024;4;05.07.2024;2;306;15;1;0;157;05.07.2024;1;1;0;94
77828;25.07.2024;25.07.2024;16.08.2024;2;26.07.2024;2;345;15;9;1;158;25.07.2024;1;1;0;69
77831;25.07.2024;25.07.2024;16.08.2024;2;26.07.2024;2;345;15;9;1;158;25.07.2024;1;1;0;69
20959;03.02.2021;04.02.2021;10.02.2021;6;04.02.2021;3;none;15;1;0;157;04.02.2021;2;1;0;92
79290;21.08.2024;21.08.2024;12.09.2024;2;22.08.2024;3;345;15;12;1;158;21.08.2024;1;1;0;69
35218;16.12.2021;17.12.2021;05.01.2022;6;17.12.2021;1;339;15;29;1;158;17.12.2021;1;1;0;68
67785;16.01.2024;16.01.2024;07.02.2024;2;17.01.2024;1;345;15;29;1;158;16.01.2024;1;1;0;68
32112;11.10.2021;12.10.2021;01.11.2021;6;12.10.2021;1;345;15;29;1;158;12.10.2021;1;1;0;67
32108;11.10.2021;12.10.2021;22.11.2021;4;12.10.2021;1;345;15;29;1;158;12.10.2021;1;1;0;67
32109;11.10.2021;12.10.2021;01.11.2021;6;12.10.2021;1;345;15;29;1;158;12.10.2021;1;1;0;67
33911;17.11.2021;18.11.2021;23.11.2021;4;18.11.2021;1;340;15;29;1;157;18.11.2021;1;1;0;92
54121;21.03.2023;21.03.2023;12.04.2023;2;22.03.2023;1;338;15;29;0;157;21.03.2023;1;1;0;91
38646;16.03.2022;16.03.2022;22.03.2022;2;17.03.2022;2;none;15;9;0;157;16.03.2022;1;1;0;89
33548;10.11.2021;11.11.2021;07.12.2021;2;11.11.2021;1;339;15;29;0;158;11.11.2021;1;1;0;66
34120;22.11.2021;22.11.2021;10.12.2021;6;23.11.2021;1;337;15;29;1;158;22.11.2021;1;1;0;66
